task,model,target_lang,samples,wer_vs_reference,cer_vs_reference,bleu,chrf,avg_latency_seconds
machine_translation,aya-expanse:8b,eng,500,56.35921740143207,38.75229286201731,35.036814909172534,61.59052523658983,0.5305632830127143
machine_translation,gemma2:9b,eng,500,57.91472564401503,40.60827110249964,35.072913435884296,61.78070207283761,0.5685006914581172
machine_translation,llama3.1:8b-instruct,eng,500,64.23676563973862,45.59030847836735,32.57554115080853,60.04451691210006,0.4410482424250804
machine_translation,qwen2.5:7b-instruct,eng,500,66.48357310457624,47.46025660460552,29.279686444778772,56.906874422377385,0.4391546026053838
machine_translation,falcon3:7b-instruct,eng,500,77.90241013651166,57.08447630847007,21.354949153305885,49.13209178946584,0.4309444729066454
machine_translation,aya-expanse:8b,fas,500,109.22166503032273,108.40928313198148,2.1461245806204623,3.407892593377442,0.5479325231285765
machine_translation,gemma2:9b,fas,500,110.07050602121794,105.16684636282264,1.9263396308542815,2.9062567396258183,0.5355501968562603
machine_translation,falcon3:7b-instruct,fas,500,114.45134376408726,109.46937236201772,1.9841049070686292,3.1243400415660134,0.4156837107036262
machine_translation,qwen2.5:7b-instruct,fas,500,116.33655102239511,104.84040843652136,4.183018917468168,18.324605450203205,0.8451714102807455
machine_translation,llama3.1:8b-instruct,fas,500,343.6136617294672,341.8958722715571,0.5552032850681538,2.0578916955600093,0.6042315792907029
machine_translation,aya-expanse:8b,jpn,500,109.06666666666666,104.59345489327896,2.2790024468662025,16.53276015149375,0.6104213949004188
machine_translation,gemma2:9b,jpn,500,109.53761904761905,104.32080767774198,6.227433892289003,16.72590200409437,0.6291012362968177
machine_translation,falcon3:7b-instruct,jpn,500,115.93004329004329,112.66332526058108,5.6647324508525685,8.894853560612535,0.8997349417647347
machine_translation,llama3.1:8b-instruct,jpn,500,168.11212121212122,125.91522767977013,2.3580909895219753,14.844702415131803,0.5877744105560705
machine_translation,qwen2.5:7b-instruct,jpn,500,168.90142857142857,118.80327658298036,3.656416530385962,12.552837601938426,0.5577188096814789
machine_translation,ilsp/Llama-Krikri-8B-Instruct:latest,eng,500,56.50835577683349,39.20458047529421,34.87238053476528,61.66588246706688,4.717792068468407
machine_translation,ilsp/Llama-Krikri-8B-Instruct:latest,fas,500,110.69957869292418,107.39401276584104,2.025537194284977,3.5266274069886734,5.300364341337234
machine_translation,ilsp/Llama-Krikri-8B-Instruct:latest,jpn,500,148.45476190476188,111.66315911976037,2.4475445895652754,14.335689977909274,6.930157342677936
